                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.0311,                 2.6851,                 2.6449,                0.43291,                0.18251,                0.18269,                0.09392,                 1.8447,                  2.666,                  2.315,             0.00037852,             0.00037852,             0.00037852
                     36,                 1.9927,                 2.6207,                 2.5808,                 0.3606,                0.15811,                0.16726,                0.08949,                 1.7709,                 2.6819,                 2.2622,             0.00037833,             0.00037833,             0.00037833
                     37,                 1.9753,                 2.5951,                 2.6172,                0.37523,                0.17019,                0.16898,                0.08815,                 1.7662,                 2.7353,                  2.278,             0.00037814,             0.00037814,             0.00037814
                     38,                  1.936,                 2.4861,                 2.5503,                 0.3588,                0.13758,                0.15978,                0.07547,                 1.8609,                 2.8324,                 2.3753,             0.00037795,             0.00037795,             0.00037795
                     39,                 1.9174,                 2.5209,                 2.5246,                0.42283,                0.18017,                0.23443,                0.11415,                 1.8658,                 2.7071,                 2.3333,             0.00037776,             0.00037776,             0.00037776
                     40,                 1.9021,                 2.4865,                 2.5003,                0.36324,                 0.2878,                0.26405,                0.14621,                 1.6634,                 2.4888,                  2.127,             0.00037757,             0.00037757,             0.00037757
                     41,                 1.8608,                 2.4602,                 2.4366,                0.40007,                0.29697,                0.28778,                0.15223,                 1.7118,                 2.3817,                 2.1294,             0.00037738,             0.00037738,             0.00037738
                     42,                 1.8266,                 2.4251,                 2.4388,                0.39508,                0.31485,                0.30823,                0.17771,                 1.5736,                  2.278,                 2.0542,             0.00037719,             0.00037719,             0.00037719
                     43,                 1.8641,                 2.3722,                 2.3994,                0.36836,                0.36052,                0.32004,                0.18235,                 1.5314,                 2.2446,                  2.025,               0.000377,               0.000377,               0.000377
                     44,                  1.767,                 2.3143,                 2.3622,                 0.3986,                0.33466,                0.31488,                0.17807,                 1.5689,                 2.3264,                 2.0562,             0.00037681,             0.00037681,             0.00037681
                     45,                 1.7259,                 2.2008,                 2.3137,                0.47391,                0.36404,                0.35684,                0.20663,                 1.5295,                 2.1714,                 2.0006,             0.00037661,             0.00037661,             0.00037661
                     46,                 1.7484,                 2.2964,                 2.3218,                0.47995,                0.39402,                0.36858,                0.20043,                 1.6528,                 2.0671,                   2.08,             0.00037642,             0.00037642,             0.00037642
                     47,                 1.7608,                 2.2161,                 2.3012,                0.46715,                0.39994,                0.35893,                0.21437,                 1.4966,                 2.0397,                 1.9588,             0.00037623,             0.00037623,             0.00037623
                     48,                 1.7176,                 2.1991,                  2.296,                0.47988,                0.41082,                0.38254,                0.23847,                 1.4311,                 2.0229,                 1.9117,             0.00037604,             0.00037604,             0.00037604
                     49,                 1.6763,                  2.124,                 2.2445,                0.51179,                0.41311,                0.40221,                0.25888,                 1.3806,                 1.9541,                 1.8767,             0.00037585,             0.00037585,             0.00037585
                     50,                 1.6622,                 2.1062,                 2.2341,                 0.5246,                0.34636,                0.38231,                0.24083,                 1.4352,                 2.0794,                 1.9528,             0.00037566,             0.00037566,             0.00037566
                     51,                 1.6453,                 2.1218,                 2.1951,                0.49301,                0.35241,                 0.3859,                0.23062,                 1.4975,                 2.0798,                 1.9712,             0.00037547,             0.00037547,             0.00037547
                     52,                 1.6751,                 2.1767,                 2.2523,                0.48438,                0.41363,                0.39294,                0.22713,                 1.5267,                 1.9562,                 1.9627,             0.00037528,             0.00037528,             0.00037528
                     53,                 1.6405,                  2.048,                 2.1621,                0.51259,                0.38066,                0.40749,                0.25727,                 1.3646,                 1.9122,                 1.8513,             0.00037509,             0.00037509,             0.00037509
