                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.2085,                 2.8753,                 2.8036,                0.33132,                0.13611,                0.12739,                 0.0662,                 1.9692,                 2.8781,                 2.4742,             0.00025541,             0.00025541,             0.00025541
                     36,                  2.172,                  2.809,                 2.7472,                  0.285,                0.17297,                0.13777,                0.06413,                 1.9276,                 2.7625,                 2.4727,              0.0002516,              0.0002516,              0.0002516
                     37,                 2.1547,                 2.7605,                 2.7955,                0.34922,                0.13744,                0.14441,                0.06842,                 1.9618,                 2.8225,                 2.4972,             0.00024779,             0.00024779,             0.00024779
                     38,                 2.0659,                 2.6782,                 2.7279,                 0.3931,                0.19758,                0.16982,                 0.0813,                 1.9064,                 2.6889,                 2.4185,             0.00024397,             0.00024397,             0.00024397
                     39,                 2.0617,                 2.7099,                 2.6979,                0.38828,                0.18769,                0.16981,                 0.0754,                 2.0646,                 2.7061,                 2.4986,             0.00024016,             0.00024016,             0.00024016
                     40,                 2.1114,                 2.6598,                 2.6833,                0.42147,                0.19086,                0.20099,                0.09868,                 2.0047,                 2.6818,                 2.4543,             0.00023635,             0.00023635,             0.00023635
                     41,                 1.9989,                 2.6136,                 2.6088,                 0.3928,                0.16502,                 0.1947,                0.09454,                 1.8154,                 2.6991,                 2.3457,             0.00023254,             0.00023254,             0.00023254
                     42,                  1.963,                 2.6155,                 2.6206,                0.33665,                0.20604,                0.24127,                 0.1265,                 1.7906,                 2.5164,                 2.2622,             0.00022873,             0.00022873,             0.00022873
                     43,                 1.9587,                  2.552,                 2.5641,                 0.3449,                0.27643,                0.25122,                0.13154,                 1.7287,                  2.423,                 2.2347,             0.00022492,             0.00022492,             0.00022492
                     44,                 1.9205,                 2.4924,                 2.5364,                0.45257,                0.27532,                0.26432,                0.14533,                 1.6616,                 2.5018,                 2.2454,             0.00022111,             0.00022111,             0.00022111
